select t.INDEX_NAME || '|' ||
BRV_PK|NORMAL|BNF_SBG_RMN_VRV|VISIBLE|UNIQUE|VALID
BSA_ADE_FK_I|NORMAL|BNF_SBG_ADE|VISIBLE|NONUNIQUE|VALID
BSA_BSG_FK_I|NORMAL|BNF_SBG_ADE|VISIBLE|NONUNIQUE|VALID
BSA_PK|NORMAL|BNF_SBG_ADE|VISIBLE|UNIQUE|VALID
BSA_VPR_FK_I|NORMAL|BNF_SBG_ADE|VISIBLE|NONUNIQUE|VALID
BSE_BSG_FK_I|NORMAL|BNF_SBG_ETU|VISIBLE|NONUNIQUE|VALID
BSE_FCO_FK_I|NORMAL|BNF_SBG_ETU|VISIBLE|NONUNIQUE|VALID
BSE_FML_FK_I|NORMAL|BNF_SBG_ETU|VISIBLE|NONUNIQUE|VALID
BSE_PK|NORMAL|BNF_SBG_ETU|VISIBLE|UNIQUE|VALID
BSE_SBE_FK_I|NORMAL|BNF_SBG_ETU|VISIBLE|NONUNIQUE|VALID
BSE_VPR_FK_I|NORMAL|BNF_SBG_ETU|VISIBLE|NONUNIQUE|VALID
BSG_AGB_FK_I|NORMAL|BNF_SBG|VISIBLE|NONUNIQUE|VALID
BSG_FCO_FK_I|NORMAL|BNF_SBG|VISIBLE|NONUNIQUE|VALID
BSG_FCT_FK_I|NORMAL|BNF_SBG|VISIBLE|NONUNIQUE|VALID
BSG_FML_CALCULADO_FK_I|NORMAL|BNF_SBG|VISIBLE|NONUNIQUE|VALID
BSG_FML_FK_I|NORMAL|BNF_SBG|VISIBLE|NONUNIQUE|VALID
BSG_FML_RAT_FK_I|NORMAL|BNF_SBG|VISIBLE|NONUNIQUE|VALID
BSG_SBG_FK_I|NORMAL|BNF_SBG|VISIBLE|NONUNIQUE|VALID
BSO_EVB_FK_I|NORMAL|BFR_EVT_SNS_OBJ|VISIBLE|NONUNIQUE|VALID
BSO_OCP_FK_I|NORMAL|BFR_EVT_SNS_OBJ|VISIBLE|NONUNIQUE|VALID
BSO_PK|NORMAL|BFR_EVT_SNS_OBJ|VISIBLE|UNIQUE|VALID
BSO_PPE_FK_I|NORMAL|BFR_EVT_SNS_OBJ|VISIBLE|NONUNIQUE|VALID
BSR_BSG_FK_I|NORMAL|BNF_SBG_RSR|VISIBLE|NONUNIQUE|VALID
BSR_FML_FK_I|NORMAL|BNF_SBG_RSR|VISIBLE|NONUNIQUE|VALID
BSR_MCR_FK_I|NORMAL|BNF_SBG_RSR|VISIBLE|NONUNIQUE|VALID
BSR_PK|NORMAL|BNF_SBG_RSR|VISIBLE|UNIQUE|VALID
BTO_PK|NORMAL|BNF_CTO|VISIBLE|UNIQUE|VALID
B_IND|NORMAL|B|VISIBLE|NONUNIQUE|VALID
C56_ADE_FK_I|NORMAL|C560000F_LOG|VISIBLE|NONUNIQUE|VALID
C56_PK|NORMAL|C560000F_LOG|VISIBLE|UNIQUE|VALID
CAA_PK|NORMAL|CMO_ADE_AGU_CTC|VISIBLE|UNIQUE|VALID
CAB_PK|NORMAL|CMO_AMC_MBA|VISIBLE|UNIQUE|VALID
CAD_PK|NORMAL|CMO_CAP_ADE|VISIBLE|UNIQUE|VALID
CAE_ADI_FK_I|NORMAL|CMO_ADI_CMO_EMP|VISIBLE|NONUNIQUE|VALID
CAE_CCE_FK_I|NORMAL|CMO_ADI_CMO_EMP|VISIBLE|NONUNIQUE|VALID
CAE_PK|NORMAL|CMO_ADI_CMO_EMP|VISIBLE|UNIQUE|VALID
CAF_APF_FK_I|NORMAL|CMO_CAR_APL_FNC|VISIBLE|NONUNIQUE|VALID
CAF_CIN_FK_I|NORMAL|CMO_CAR_APL_FNC|VISIBLE|NONUNIQUE|VALID
CAF_PK|NORMAL|CMO_CAR_APL_FNC|VISIBLE|UNIQUE|VALID
CAH_ACO_FK_I|NORMAL|CMO_AGU_HST|VISIBLE|NONUNIQUE|VALID
