select t.OWNER || '|' ||
SYSMAN|UPDATE_SOURCE|MGMT_BLACKOUT_SCHEDULE|BEFORE EACH ROW||ENABLED
SYSMAN|METRIC_ERRORS_CUR_AND_DUPES|MGMT_METRIC_ERRORS|BEFORE EACH ROW||ENABLED
SYSMAN|RAW_METRICS_AFTER_INSERT|MGMT_METRICS_RAW|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_JOB_PARAM_INSERT|MGMT_JOB_PARAMETER|BEFORE EACH ROW||ENABLED
SYSMAN|JOB_SUMM_INS_TRIGGER|MGMT_JOB_EXEC_SUMMARY|BEFORE EACH ROW||ENABLED
SYSMAN|JOB_TARGET_DEL_TRIGGER|MGMT_JOB_TARGET|AFTER EACH ROW||ENABLED
SYSMAN|JOB_TARGET_INSERT_TRIGGER|MGMT_JOB_TARGET|AFTER EACH ROW||ENABLED
SYSMAN|JOB_DELETE_TRIGGER|MGMT_JOB|AFTER EACH ROW||ENABLED
SYSMAN|EXECPLAN_DELETE_TRIGGER|MGMT_JOB_EXECPLAN|AFTER EACH ROW||ENABLED
SYSMAN|MEMBER_DELETION_TRIGGER|MGMT_TARGET_MEMBERSHIPS|AFTER EACH ROW||ENABLED
SYSMAN|MEMBER_ADDITION_TRIGGER|MGMT_TARGET_MEMBERSHIPS|AFTER EACH ROW||ENABLED
SYSMAN|MEMBERSHIPS_INSERT_TRIGGER|MGMT_TARGET_MEMBERSHIPS|BEFORE EACH ROW||ENABL
SYSMAN|MGMT_JOB_CREDS_DEL|MGMT_JOB_CREDENTIALS|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_CONT_CREDS_DEL|MGMT_CONTAINER_CREDENTIALS|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_ENT_CREDS_DEL|MGMT_ENTERPRISE_CREDENTIALS|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_HOST_CREDS_DEL|MGMT_HOST_CREDENTIALS|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_TARGET_CREDS_DEL|MGMT_TARGET_CREDENTIALS|AFTER EACH ROW||ENABLED
SYSMAN|MGMT_CREDS_INS_UPD|MGMT_CREDENTIALS2|BEFORE EACH ROW||ENABLED
SYSMAN|MGMT_CREDS_UPD|MGMT_CREDENTIALS2|AFTER STATEMENT||ENABLED
SYSMAN|MGMT_METRIC_COLL_DEL|MGMT_METRIC_COLLECTIONS|AFTER EACH ROW||ENABLED
SYSMAN|EM_TARGETS_DELETE|MGMT_TARGETS|BEFORE EACH ROW||ENABLED
SYSMAN|TARGETS_AVAILABILITY_DEFAULT|MGMT_TARGETS|AFTER EACH ROW||ENABLED
SYSMAN|METRICS_INSERT_TRIGGER|MGMT_METRICS|BEFORE EACH ROW||ENABLED
SYSMAN|METRICS_DELETE|MGMT_METRICS|AFTER EACH ROW||ENABLED
