select t.OWNER || '|' ||
TRON2000|GC_T_A9989010_VCR|A9989010_VCR|BEFORE EACH ROW||ENABLED
TRON2000|SF_T_A2109482_VCR|A2109482_VCR|BEFORE EACH ROW||ENABLED
SYS|TRDBA_LOG_SRVRERRO||AFTER EVENT||DISABLED
SYS|XDB_PI_TRIG||BEFORE EVENT||ENABLED
SYS|AW_DROP_TRG||AFTER EVENT||ENABLED
SYS|LOGMNRGGC_TRIGGER||BEFORE EVENT||DISABLED
SYS|AW_TRUNC_TRG||AFTER EVENT||ENABLED
SYS|AW_REN_TRG||AFTER EVENT||ENABLED
SYS|CDC_CREATE_CTABLE_AFTER||AFTER EVENT||DISABLED
SYS|CDC_CREATE_CTABLE_BEFORE||BEFORE EVENT||DISABLED
WMSYS|NO_VM_DDL||BEFORE EVENT||DISABLED
WMSYS|NO_VM_DROP_A||AFTER EVENT||DISABLED
SYS|CDC_ALTER_CTABLE_BEFORE||BEFORE EVENT||DISABLED
SYS|CDC_DROP_CTABLE_BEFORE||BEFORE EVENT||DISABLED
SYS|CONTROLA_ACESSO||AFTER EVENT||ENABLED
SYS|SET_TRACE_CALCULOBLOCO||AFTER EVENT||DISABLED
SYS|DBA_LOGONAUDITING||AFTER EVENT||DISABLED
CRYSTALUSR|TRSN_ON_LOGON||AFTER EVENT||ENABLED
SGDVC|TRSN_ON_LOGON||AFTER EVENT||ENABLED

Executed in 2,875 seconds
spool off
