select t.OWNER || '|' ||
WEBMETHODSADM|BMGGNLYTV11_RBI|BAM_AGG_ANALYTI_V11|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTNLYTV12_RBI|BAM_FACT_ANALYTI_V12|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGNLYTV12_RBI|BAM_AGG_ANALYTI_V12|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTVNTPRV1_RBI|BAM_FACT_EVENTPR_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGVNTPRV1_RBI|BAM_AGG_EVENTPR_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTGRBGV1_RBI|BAM_FACT_GARBAGE_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGGRBGV1_RBI|BAM_AGG_GARBAGE_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTJMPRFV1_RBI|BAM_FACT_JMPERFO_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGJMPRFV1_RBI|BAM_AGG_JMPERFO_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTJMRSLV1_RBI|BAM_FACT_JMRESUL_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGJMRSLV1_RBI|BAM_AGG_JMRESUL_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTJMTHRV1_RBI|BAM_FACT_JMTHREA_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGJMTHRV1_RBI|BAM_AGG_JMTHREA_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTPTMZV1_RBI|BAM_FACT_OPTIMIZ_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGPTMZV1_RBI|BAM_AGG_OPTIMIZ_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTPRCSSV1_RBI|BAM_FACT_PROCESS_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGPRCSSV1_RBI|BAM_AGG_PROCESS_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMJNPRCSSV1_RBI|BAM_JOIN_PROCESS_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMJNPRCSSV11_RBI|BAM_JOIN_PROCESS_V11|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTQMV1_RBI|BAM_FACT_QUEUEME_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGQMV1_RBI|BAM_AGG_QUEUEME_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMFCTSTGMV1_RBI|BAM_FACT_STAGE_M_V1|BEFORE EACH ROW||ENABLED
WEBMETHODSADM|BMGGSTGMV1_RBI|BAM_AGG_STAGE_M_V1|BEFORE EACH ROW||ENABLED
