select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: CRIVOADM
HISTORICO_PRODUTO|ID_FOTO_PRODUTO|NUMBER|22|10|0
HISTORICO_PRODUTO|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_PRODUTO|ID_FOTO_FIM|NUMBER|22|10|0
HISTORICO_RESPOSTA|ID_FOTO_RESPOSTA|NUMBER|22|10|1701
HISTORICO_RESPOSTA|ID_FOTO_INICIO|NUMBER|22|10|1701
HISTORICO_RESPOSTA|ID_FOTO_FIM|NUMBER|22|10|1701
HISTORICO_USUARIO|ID_FOTO_USUARIO|NUMBER|22|10|33
HISTORICO_USUARIO|ID_FOTO_INICIO|NUMBER|22|10|33
HISTORICO_USUARIO|ID_FOTO_FIM|NUMBER|22|10|33
HISTORICO_DETALHEDISCRETA|ID_FOTO_DETALHEDISCRETA|NUMBER|22|10|0
HISTORICO_DETALHEDISCRETA|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_DETALHEDISCRETA|ID_FOTO_FIM|NUMBER|22|10|0
HISTORICO_DETALHEOPCAO|ID_FOTO_DETALHEOPCAO|NUMBER|22|10|0
HISTORICO_DETALHEOPCAO|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_DETALHEOPCAO|ID_FOTO_FIM|NUMBER|22|10|0
HISTORICO_CRITERIO_DISPARA|ID_FOTO_CRITERIO_DISPARA|NUMBER|22|10|269
HISTORICO_CRITERIO_DISPARA|ID_FOTO_INICIO|NUMBER|22|10|269
HISTORICO_CRITERIO_DISPARA|ID_FOTO_FIM|NUMBER|22|10|269
HISTORICO_FASTSWITCH|ID_FOTO_FASTSWITCH|NUMBER|22|10|0
HISTORICO_FASTSWITCH|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_FASTSWITCH|ID_FOTO_FIM|NUMBER|22|10|0
HISTORICO_SISTEMA|ID_FOTO_SISTEMA|NUMBER|22|10|1220
HISTORICO_SISTEMA|ID_FOTO_INICIO|NUMBER|22|10|1220
HISTORICO_SISTEMA|ID_FOTO_FIM|NUMBER|22|10|1220
CAMPOCUSTOMIZADO|ID_CAMPOCUSTOMIZADO|NUMBER|22|10|0
CAMPOCUSTOMIZADO|NOME|VARCHAR2|50||0
CAMPOCUSTOMIZADO|NOMEEXIBICAO|VARCHAR2|50||0
CAMPOCUSTOMIZADO|TIPO|VARCHAR2|50||0
CAMPOCUSTOMIZADO|TAMANHO|NUMBER|22|5|0
CAMPOCUSTOMIZADO|OBRIGATORIO|NUMBER|22|1|0
CAMPOCUSTOMIZADO|DATACRIACAO|DATE|7||0
CAMPOCUSTOMIZADO|DATAEXCLUSAO|DATE|7||0
USUARIOCAMPOCUSTOMIZADO|ID_USUARIOCAMPOCUSTOMIZADO|NUMBER|22|10|0
USUARIOCAMPOCUSTOMIZADO|ID_USUARIO|NUMBER|22|10|0
USUARIOCAMPOCUSTOMIZADO|ID_CAMPOCUSTOMIZADO|NUMBER|22|10|0
USUARIOCAMPOCUSTOMIZADO|VALORCAMPOCUSTOMIZADO|VARCHAR2|255||0
MAQUINA|ID_MAQUINA|NUMBER|22|10|2
MAQUINA|NOME|VARCHAR2|1000||2
MAQUINA|SERVERUUID|VARCHAR2|36||2
MAQUINA|CONTENT|VARCHAR2|4000||2
MAQUINA|URLCRIVO|VARCHAR2|500||2
FOTO_PRODUTOCONFIG|ID_FOTO_PRODUTOCONFIG|NUMBER|22|10|0
FOTO_PRODUTOCONFIG|ID_PRODUTO|NUMBER|22|10|0
FOTO_PRODUTOCONFIG|ID_GRUPO_USUARIO|NUMBER|22|10|0
FOTO_PRODUTOCONFIG|RELATORIOORIGINAL|NUMBER|22|1|0
FOTO_CACHE_GRUPO_USUARIO|ID_FOTO_CACHE_GRUPO_USUARIO|NUMBER|22|10|0
FOTO_CACHE_GRUPO_USUARIO|ID_CACHE_GRUPO_USUARIO|NUMBER|22|10|0
FOTO_CACHE_GRUPO_USUARIO|ID_CACHECONFIG|NUMBER|22|10|0
FOTO_CACHE_GRUPO_USUARIO|ID_GRUPO_USUARIO|NUMBER|22|10|0
HISTORICO_PRODUTOCONFIG|ID_FOTO_PRODUTOCONFIG|NUMBER|22|10|0
HISTORICO_PRODUTOCONFIG|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_PRODUTOCONFIG|ID_FOTO_FIM|NUMBER|22|10|0
HISTORICO_CACHE_GRUPO_USUARIO|ID_FOTO_CACHE_GRUPO_USUARIO|NUMBER|22|10|0
HISTORICO_CACHE_GRUPO_USUARIO|ID_FOTO_INICIO|NUMBER|22|10|0
HISTORICO_CACHE_GRUPO_USUARIO|ID_FOTO_FIM|NUMBER|22|10|0
PRODUTOCONFIG|ID_PRODUTOCONFIG|NUMBER|22|10|0
PRODUTOCONFIG|ID_PRODUTO|NUMBER|22|10|0
PRODUTOCONFIG|ID_GRUPO_USUARIO|NUMBER|22|10|0
PRODUTOCONFIG|RELATORIOORIGINAL|NUMBER|22|1|0
CACHE_GRUPO_USUARIO|ID_CACHE_GRUPO_USUARIO|NUMBER|22|10|0
CACHE_GRUPO_USUARIO|ID_CACHECONFIG|NUMBER|22|10|0
CACHE_GRUPO_USUARIO|ID_GRUPO_USUARIO|NUMBER|22|10|0
HISTORICO_CRITERIOSUSPEITO|ID_HISTORICO_CRITERIOSUSPEITO|NUMBER|22|10|239
HISTORICO_CRITERIOSUSPEITO|ID_CRITERIO|NUMBER|22|10|239
HISTORICO_CRITERIOSUSPEITO|ID_FOTO|NUMBER|22|10|239
HISTORICO_CRITERIOSUSPEITO|NOME|VARCHAR2|100||239
HISTORICO_CRITERIOSUSPEITO|SUSPEITO|NUMBER|22|1|239
