select t.TABLE_NAME || '|' ||
       t.CONSTRAINT_NAME || '|' ||
     t.COLUMN_NAME
from DBA_CONS_COLUMNS t
where t.OWNER = '&schema';
&schema: TRON2000
LOG_LOCALIDADE|SYS_C001684871|LOC_NU
A5029195_VCR|PK_A5029195_VCR|NUM_APLI
A5029195_VCR|SYS_C001393890|NUM_APLI
A5029195_VCR|PK_A5029195_VCR|NUM_SPTO_APLI
A5029195_VCR|SYS_C001393891|NUM_SPTO_APLI
A5029195_VCR|PK_A5029195_VCR|NUM_CUOTA
A5029195_VCR|PK_A5029195_VCR|COD_ENTIDAD
A5029195_VCR|SYS_C001393892|COD_ENTIDAD
A5029195_VCR|PK_A5029195_VCR|FEC_PAGO
A5029195_VCR|SYS_C001393893|FEC_PAGO
QG2000020_SS1632|SYS_C002030886|NUM_POLIZA
A7009197_VCR|PK_A7009197_VCR|NUM_SEQ_CARTA_VCR
A9999008_VCR|PK_A9999008_VCR|NUM_ID_VCR
A9999008_VCR|PK_A9999008_VCR|COD_CLASS
SORTEIO_004|SYS_C001081530|COD_CIA
SORTEIO_004|SYS_C001081531|NUM_SORTEIO_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081532|COD_CIA
CARLA_A5029110_DB_COM_IOF|SYS_C001081533|COD_ENTIDAD
CARLA_A5029110_DB_COM_IOF|SYS_C001081534|COD_OFICINA
CARLA_A5029110_DB_COM_IOF|SYS_C001081535|COD_CONV
CARLA_A5029110_DB_COM_IOF|SYS_C001081536|COD_COBRO_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081537|COD_CONTA_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081538|NUM_POLIZA
CARLA_A5029110_DB_COM_IOF|SYS_C001081539|NUM_SPTO
CARLA_A5029110_DB_COM_IOF|SYS_C001081540|NUM_CUOTA
CARLA_A5029110_DB_COM_IOF|SYS_C001081541|NUM_ENVIO_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081542|TIP_ENVIO_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081543|TIP_DOCUM
CARLA_A5029110_DB_COM_IOF|SYS_C001081544|COD_DOCUM
CARLA_A5029110_DB_COM_IOF|SYS_C001081545|NOM_TOMADOR
CARLA_A5029110_DB_COM_IOF|SYS_C001081546|COD_OFICINA_DEBITO_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081547|NUM_CTA_CTE_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081548|NUM_RECIBO
CARLA_A5029110_DB_COM_IOF|SYS_C001081549|IMP_DEBITO_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081550|FEC_DEBITO_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081551|IMP_IMPTOS
CARLA_A5029110_DB_COM_IOF|SYS_C001081552|MCA_REPIQUE_VCR
CARLA_A5029110_DB_COM_IOF|SYS_C001081553|COD_ENVIO
CARLA_A5029110_DB_COM_IOF|SYS_C001081554|COD_USR
CARLA_A5029110_DB_COM_IOF|SYS_C001081555|FEC_ACTU
CARLA_A5029110_DBS_ATLZ_IOF|SYS_C001081556|COD_CIA
CARLA_A5029110_DBS_ATLZ_IOF|SYS_C001081557|COD_ENTIDAD
CARLA_A5029110_DBS_ATLZ_IOF|SYS_C001081558|COD_OFICINA
CARLA_A5029110_DBS_ATLZ_IOF|SYS_C001081559|COD_CONV
CARLA_A5029110_DBS_ATLZ_IOF|SYS_C001081560|COD_COBRO_VCR
CARLA_A5029110_DBS_ATLZ_IOF|SYS_C001081561|COD_CONTA_VCR
CARLA_A5029110_DBS_ATLZ_IOF|SYS_C001081562|NUM_POLIZA
CARLA_A5029110_DBS_ATLZ_IOF|SYS_C001081563|NUM_SPTO
