select t.TABLE_NAME || '|' ||
       s.COLUMN_NAME || '|' ||
       s.DATA_TYPE || '|' ||
	   s.DATA_LENGTH || '|' ||
	   s.DATA_PRECISION || '|' ||
	   t.NUM_ROWS
from DBA_TABLES t,DBA_TAB_COLUMNS s
where t.table_name = s.table_name
and   t.OWNER  = '&schema';
&schema: ARISADM
ALSDB_A_LOCKUNIT|CLANID|NUMBER|22|10|0
ALSDB_A_LOCKUNIT|SVALUE|BLOB|4000||0
ALSDB_A_SYMBOLLOCKS|ROWKEY|VARCHAR2|255||0
ALSDB_A_SYMBOLLOCKS|ASN|NUMBER|22|10|0
ALSDB_A_SYMBOLLOCKS|ROWSTATE|VARCHAR2|255||0
ALSDB_A_SYMBOLLOCKS|EXPLICIT|NUMBER|22|10|0
ALSDB_A_SYMBOLLOCKS|DUPLICATE|NUMBER|22|10|0
ALSDB_A_SYMBOLLOCKS|CSIGNORE|NUMBER|22|10|0
ALSDB_A_SYMBOLLOCKS|CLANID|NUMBER|22|10|0
ALSDB_A_SYMBOLLOCKS|SVALUE|BLOB|4000||0
ALSDB_B_EXPLIMPLLOCKS|ROWKEY|VARCHAR2|255||0
ALSDB_B_EXPLIMPLLOCKS|MSN|NUMBER|22|19|0
ALSDB_B_EXPLIMPLLOCKS|CMSN|NUMBER|22|19|0
ALSDB_B_EXPLIMPLLOCKS|ROWSTATE|VARCHAR2|255||0
ALSDB_B_EXPLIMPLLOCKS|CLANID|NUMBER|22|10|0
ALSDB_B_EXPLIMPLLOCKS|SVALUE|BLOB|4000||0
ALSDB_B_LOCKCONTEXT|ROWKEY|VARCHAR2|255||0
ALSDB_B_LOCKCONTEXT|MSN|NUMBER|22|19|0
ALSDB_B_LOCKCONTEXT|CMSN|NUMBER|22|19|0
ALSDB_B_LOCKCONTEXT|ROWSTATE|VARCHAR2|255||0
ALSDB_B_LOCKCONTEXT|CLANID|NUMBER|22|10|0
ALSDB_B_LOCKCONTEXT|SVALUE|BLOB|4000||0
ALSDB_B_LOCKOWNER|ROWKEY|VARCHAR2|255||0
ALSDB_B_LOCKOWNER|MSN|NUMBER|22|19|0
ALSDB_B_LOCKOWNER|CMSN|NUMBER|22|19|0
ALSDB_B_LOCKOWNER|ROWSTATE|VARCHAR2|255||0
ALSDB_B_LOCKOWNER|CLANID|NUMBER|22|10|0
ALSDB_B_LOCKOWNER|SVALUE|BLOB|4000||0
ALSDB_B_LOCKUNIT|ROWKEY|VARCHAR2|255||0
ALSDB_B_LOCKUNIT|MSN|NUMBER|22|19|0
ALSDB_B_LOCKUNIT|CMSN|NUMBER|22|19|0
ALSDB_B_LOCKUNIT|ROWSTATE|VARCHAR2|255||0
ALSDB_B_LOCKUNIT|CLANID|NUMBER|22|10|0
ALSDB_B_LOCKUNIT|SVALUE|BLOB|4000||0
ALSDB_B_SYMBOLLOCKS|ROWKEY|VARCHAR2|255||0
ALSDB_B_SYMBOLLOCKS|MSN|NUMBER|22|19|0
ALSDB_B_SYMBOLLOCKS|CMSN|NUMBER|22|19|0
ALSDB_B_SYMBOLLOCKS|ROWSTATE|VARCHAR2|255||0
ALSDB_B_SYMBOLLOCKS|CLANID|NUMBER|22|10|0
ALSDB_B_SYMBOLLOCKS|SVALUE|BLOB|4000||0
ALSDB_EXPLIMPLLOCKS|ROWKEY|VARCHAR2|255||0
ALSDB_EXPLIMPLLOCKS|VERSION|NUMBER|22|10|0
ALSDB_EXPLIMPLLOCKS|MSN|NUMBER|22|19|0
ALSDB_EXPLIMPLLOCKS|CLANID|NUMBER|22|10|0
ALSDB_EXPLIMPLLOCKS|SVALUE|BLOB|4000||0
ALSDB_LOCKCONTEXT|ROWKEY|VARCHAR2|255||16
ALSDB_LOCKCONTEXT|MSN|NUMBER|22|19|16
ALSDB_LOCKCONTEXT|CLANID|NUMBER|22|10|16
ALSDB_LOCKCONTEXT|SVALUE|BLOB|4000||16
ALSDB_LOCKOWNER|ROWKEY|VARCHAR2|255||0
ALSDB_LOCKOWNER|VERSION|NUMBER|22|10|0
ALSDB_LOCKOWNER|MSN|NUMBER|22|19|0
ALSDB_LOCKOWNER|CLANID|NUMBER|22|10|0
ALSDB_LOCKOWNER|SVALUE|BLOB|4000||0
ALSDB_LOCKUNIT|ROWKEY|VARCHAR2|255||10
ALSDB_LOCKUNIT|MSN|NUMBER|22|19|10
ALSDB_LOCKUNIT|CLANID|NUMBER|22|10|10
ALSDB_LOCKUNIT|SVALUE|BLOB|4000||10
ALSDB_PROPERTIES|NAME|VARCHAR2|255||2
ALSDB_PROPERTIES|VAL|VARCHAR2|255||2
ALSDB_SYMBOLLOCKS|ROWKEY|VARCHAR2|255||0
ALSDB_SYMBOLLOCKS|VERSION|NUMBER|22|10|0
ALSDB_SYMBOLLOCKS|MSN|NUMBER|22|19|0
ALSDB_SYMBOLLOCKS|CLANID|NUMBER|22|10|0
ALSDB_SYMBOLLOCKS|SVALUE|BLOB|4000||0
BO_A_ACCESSRIGHT|ROWKEY|VARCHAR2|255||0
BO_A_ACCESSRIGHT|ASN|NUMBER|22|10|0
BO_A_ACCESSRIGHT|ROWSTATE|VARCHAR2|255||0
BO_A_ACCESSRIGHT|EXPLICIT|NUMBER|22|10|0
BO_A_ACCESSRIGHT|DUPLICATE|NUMBER|22|10|0
BO_A_ACCESSRIGHT|CSIGNORE|NUMBER|22|10|0
BO_A_ACCESSRIGHT|CLANID|NUMBER|22|10|0
BO_A_ACCESSRIGHT|SVALUE|BLOB|4000||0
BO_A_AI|ROWKEY|VARCHAR2|255||0
BO_A_AI|ASN|NUMBER|22|10|0
BO_A_AI|ROWSTATE|VARCHAR2|255||0
BO_A_AI|EXPLICIT|NUMBER|22|10|0
BO_A_AI|DUPLICATE|NUMBER|22|10|0
BO_A_AI|CSIGNORE|NUMBER|22|10|0
BO_A_AI|CLANID|NUMBER|22|10|0
BO_A_AI|SVALUE|BLOB|4000||0
BO_A_AIKPIDEFINITION|ROWKEY|VARCHAR2|255||0
BO_A_AIKPIDEFINITION|ASN|NUMBER|22|10|0
BO_A_AIKPIDEFINITION|ROWSTATE|VARCHAR2|255||0
BO_A_AIKPIDEFINITION|EXPLICIT|NUMBER|22|10|0
BO_A_AIKPIDEFINITION|DUPLICATE|NUMBER|22|10|0
BO_A_AIKPIDEFINITION|CSIGNORE|NUMBER|22|10|0
BO_A_AIKPIDEFINITION|CLANID|NUMBER|22|10|0
BO_A_AIKPIDEFINITION|SVALUE|BLOB|4000||0
BO_A_AISHEET|ROWKEY|VARCHAR2|255||0
BO_A_AISHEET|ASN|NUMBER|22|10|0
BO_A_AISHEET|ROWSTATE|VARCHAR2|255||0
BO_A_AISHEET|EXPLICIT|NUMBER|22|10|0
BO_A_AISHEET|DUPLICATE|NUMBER|22|10|0
BO_A_AISHEET|CSIGNORE|NUMBER|22|10|0
BO_A_AISHEET|CLANID|NUMBER|22|10|0
BO_A_AISHEET|SVALUE|BLOB|4000||0
