select t.INDEX_NAME || '|' ||
       t.INDEX_TYPE || '|' ||
	   t.TABLE_NAME || '|' ||
	   t.VISIBILITY || '|' ||
       t.UNIQUENESS || '|' ||
	   t.STATUS
from DBA_INDEXES t
where t.OWNER = '&schema';
&schema: ARISADM
PK_MZNG_A_LICENSEKEYCONFIG|NORMAL|MZNG_A_LICENSEKEYCONFIG|VISIBLE|UNIQUE|VALID
PK_MZNG_A_GEOMAPCONFIGURATION|NORMAL|MZNG_A_GEOMAPCONFIGURATION|VISIBLE|UNIQUE|V
SYS_IL0000112172C00006$$|LOB|MZNG_A_FEEDATTACHMENT|VISIBLE|UNIQUE|VALID
PK_MZNG_A_FEEDATTACHMENT|NORMAL|MZNG_A_FEEDATTACHMENT|VISIBLE|UNIQUE|VALID
SYS_IL0000112148C00003$$|LOB|MZNG_A_FEED|VISIBLE|UNIQUE|VALID
SYS_IL0000112148C00004$$|LOB|MZNG_A_FEED|VISIBLE|UNIQUE|VALID
SYS_IL0000112148C00005$$|LOB|MZNG_A_FEED|VISIBLE|UNIQUE|VALID
PK_MZNG_A_FEED|NORMAL|MZNG_A_FEED|VISIBLE|UNIQUE|VALID
PK_MZNG_A_FAVORITE|NORMAL|MZNG_A_FAVORITE|VISIBLE|UNIQUE|VALID
PK_MZNG_A_CONFIGURATION|NORMAL|MZNG_A_CONFIGURATION|VISIBLE|UNIQUE|VALID
PK_MZNG_A_AUTHORIZATIONATTR|NORMAL|MZNG_A_AUTHORIZATIONATTR|VISIBLE|UNIQUE|VALID
PK_MZNG_A_AUTHORIZATION|NORMAL|MZNG_A_AUTHORIZATION|VISIBLE|UNIQUE|VALID
SYS_IL0000112186C00004$$|LOB|MZNG_A_ALIASATTACHMENT|VISIBLE|UNIQUE|VALID
PK_MZNG_A_ALIASATTACHMENT|NORMAL|MZNG_A_ALIASATTACHMENT|VISIBLE|UNIQUE|VALID
PK_MZNG_A_ALIAS|NORMAL|MZNG_A_ALIAS|VISIBLE|UNIQUE|VALID
IDX_BO_A_ANALYSISTEMPLATE_AR|NORMAL|BO_A_ANALYSISTEMPLATE|VISIBLE|NONUNIQUE|VALI
SYS_IL0000109041C00008$$|LOB|BO_A_ANALYSISTEMPLATE|VISIBLE|UNIQUE|VALID
SYS_C0013223|NORMAL|BO_A_ANALYSISTEMPLATE|VISIBLE|UNIQUE|VALID
IDX_BO_A_AITREESUBJECT_AR|NORMAL|BO_A_AITREESUBJECT|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109037C00008$$|LOB|BO_A_AITREESUBJECT|VISIBLE|UNIQUE|VALID
SYS_C0013217|NORMAL|BO_A_AITREESUBJECT|VISIBLE|UNIQUE|VALID
IDX_BO_A_AISUBCATEG_AR|NORMAL|BO_A_AISUBCATEG|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109033C00008$$|LOB|BO_A_AISUBCATEG|VISIBLE|UNIQUE|VALID
SYS_C0013211|NORMAL|BO_A_AISUBCATEG|VISIBLE|UNIQUE|VALID
IDX_BO_A_AISHEET_AR|NORMAL|BO_A_AISHEET|VISIBLE|NONUNIQUE|VALID
SYS_IL0000109029C00008$$|LOB|BO_A_AISHEET|VISIBLE|UNIQUE|VALID
SYS_C0013205|NORMAL|BO_A_AISHEET|VISIBLE|UNIQUE|VALID
